id_solicitante,idade,renda_mensal,tempo_emprego_anos,score_credito,regiao,decisao_algoritmo
1001,22,1800,1,510,Norte,Negado
1002,35,4200,8,690,Sudeste,Aprovado
1003,29,2600,3,560,Nordeste,Negado
1004,41,7800,15,740,Sul,Aprovado
1005,26,2100,2,530,Norte,Negado
1006,50,9200,22,780,Sudeste,Aprovado
1007,31,3100,5,610,Centro-Oeste,Aprovado
1008,23,1600,1,490,Nordeste,Negado
1009,45,6800,18,720,Sul,Aprovado
1010,27,2300,2,540,Norte,Negado
1011,38,5200,10,670,Sudeste,Aprovado
1012,24,1900,1,505,Nordeste,Negado
1013,33,3600,6,630,Centro-Oeste,Aprovado
1014,55,10500,28,800,Sul,Aprovado
1015,28,2200,2,520,Norte,Negado
1016,36,4700,9,655,Sudeste,Aprovado
1017,25,1750,1,495,Nordeste,Negado
1018,42,7100,16,715,Sul,Aprovado
1019,30,2900,4,585,Centro-Oeste,Negado
1020,48,8600,20,765,Sudeste,Aprovado
